student_id,grade,subject,topic,learning_style,device_type,past_quiz_score_avg,accuracy_percentage,avg_response_time_sec,num_attempts,learning_streak_days,engagement_score,hints_used,video_watch_pct,time_on_task_min,session_count_week,next_topic,recommended_difficulty,success_probability_bin,needs_revision
S550316,Grade_2,Hindi,Gadya,auditory,mobile,56.01,58.11,82.9,4.0,11.0,0.453,3.0,39.79,24.9,7.0,Kavita,easy,medium,0
S419073,Grade_12,Hindi,Gadya,visual,desktop,95.53,91.16,42.5,3.0,0.0,0.6643,0.0,78.91,23.9,3.0,Kavita,medium,high,0
S914981,Grade_6,General_Knowledge,Science_Tech,auditory,mobile,56.77,55.96,100.6,5.0,1.0,0.4579,3.0,67.67,31.9,3.0,Current_Affairs,medium,medium,0
S448730,Grade_6,Hindi,Vyakaran,kinesthetic,tablet,59.63,48.98,79.2,5.0,2.0,0.3663,3.0,43.25,,3.0,Gadya,medium,medium,1
S133536,Grade_3,Computer_Science,Networking,visual,mobile,58.65,,117.2,3.0,10.0,0.4258,2.0,36.99,21.2,7.0,Databases,medium,medium,1
S493045,Grade_2,History,World_Wars,kinesthetic,mobile,58.62,42.15,112.0,4.0,16.0,0.4513,3.0,40.15,27.9,8.0,Freedom_Movement,medium,medium,1
S468267,Grade_4,History,Post_Independence,auditory,tablet,40.4,30.73,114.9,6.0,20.0,0.347,3.0,17.92,43.8,10.0,World_Wars,easy,low,1
S501540,Grade_10,English,Comprehension,visual,tablet,,62.32,48.5,4.0,3.0,0.5021,1.0,46.89,32.7,3.0,Essay_Writing,medium,medium,0
S337172,Grade_3,English,Poetry,kinesthetic,tablet,30.25,17.7,88.2,6.0,18.0,0.2179,4.0,2.41,,10.0,Comprehension,easy,low,1
S870951,Grade_9,Hindi,Kavita,visual,desktop,69.03,56.86,69.9,5.0,1.0,0.4673,1.0,47.86,31.4,2.0,Patra_Lekhan,medium,medium,0
S694538,Grade_6,Computer_Science,Networking,visual,laptop,61.26,67.57,89.7,3.0,0.0,0.5292,3.0,53.32,30.0,2.0,Databases,medium,medium,0
S804460,Grade_2,Science,Light_Optics,visual,mobile,39.32,29.69,111.0,5.0,13.0,0.2533,3.0,19.6,28.9,7.0,Electricity,easy,low,1
S427310,,History,World_Wars,kinesthetic,mobile,58.97,47.33,67.6,4.0,4.0,0.3241,4.0,30.51,29.2,2.0,Freedom_Movement,medium,medium,1
S924409,Grade_11,Geography,Physical_Geography,kinesthetic,mobile,66.07,49.06,55.2,3.0,2.0,0.4353,3.0,58.01,,2.0,Resources,medium,medium,0
S992243,Grade_3,Mathematics,Fractions,kinesthetic,mobile,76.04,64.21,127.1,3.0,6.0,0.5104,1.0,52.78,24.8,5.0,Algebra,medium,medium,0
S794810,Grade_2,Geography,Physical_Geography,auditory,laptop,32.29,20.76,121.1,6.0,11.0,0.2403,5.0,14.15,47.8,5.0,Climate,easy,low,1
S430487,Grade_5,English,Literature,reading_writing,laptop,75.93,71.14,78.0,2.0,8.0,0.5952,1.0,74.04,17.7,4.0,Comprehension,medium,medium,0
S709892,Grade_11,Mathematics,Algebra,kinesthetic,mobile,67.76,66.85,56.9,3.0,,0.5941,1.0,54.19,25.5,4.0,Geometry,medium,medium,0
S218994,Grade_4,Geography,Maps_Cartography,auditory,laptop,39.37,30.08,100.0,6.0,6.0,0.2882,2.0,22.93,38.0,5.0,Resources,easy,low,1
S969607,Grade_8,English,Literature,visual,laptop,66.15,55.98,78.0,3.0,12.0,0.442,2.0,28.97,26.4,6.0,Comprehension,medium,medium,0
S788631,Grade_3,General_Knowledge,Science_Tech,reading_writing,desktop,32.94,26.17,117.7,6.0,0.0,0.1551,2.0,11.78,39.0,3.0,Awards,easy,low,1
S834911,Grade_11,Hindi,Gadya,kinesthetic,mobile,72.15,60.24,62.3,2.0,17.0,0.527,2.0,70.73,13.4,10.0,Patra_Lekhan,medium,medium,0
S510091,Grade_11,Mathematics,Statistics,visual,laptop,82.6,88.09,46.2,2.0,0.0,,2.0,71.29,19.2,3.0,Algebra,medium,high,0
S866017,Grade_1,Computer_Science,Python_Basics,reading_writing,mobile,46.29,38.7,132.5,6.0,2.0,0.334,,33.24,40.0,3.0,Algorithms,easy,low,1
S196067,Grade_6,Science,Periodic_Table,visual,tablet,,90.24,100.9,1.0,0.0,0.5984,0.0,70.82,22.1,,Electricity,hard,high,0
S582460,Grade_12,Computer_Science,Python_Basics,auditory,laptop,93.13,88.86,38.0,2.0,25.0,0.6917,2.0,67.27,19.4,13.0,Algorithms,hard,high,0
S554547,Grade_12,Hindi,Patra_Lekhan,auditory,laptop,79.16,74.06,63.3,,1.0,0.6012,2.0,59.48,15.8,2.0,Vyakaran,medium,medium,0
S687327,Grade_4,History,Medieval_Period,visual,desktop,41.37,35.71,129.4,6.0,3.0,0.3624,3.0,40.92,50.5,3.0,World_Wars,easy,low,1
S659684,,Geography,Population,reading_writing,laptop,56.13,58.57,66.8,4.0,1.0,0.4879,2.0,44.77,34.5,3.0,Climate,easy,medium,0
S631067,Grade_2,Geography,Maps_Cartography,visual,mobile,46.2,34.3,108.7,5.0,9.0,0.2503,4.0,17.34,35.2,6.0,Resources,easy,low,1
S225221,Grade_7,Geography,Physical_Geography,kinesthetic,desktop,78.36,76.36,,2.0,7.0,0.6366,2.0,62.23,7.6,6.0,Resources,medium,medium,0
S343481,Grade_2,Hindi,Vyakaran,kinesthetic,tablet,64.71,,133.2,2.0,10.0,0.5219,3.0,59.41,21.4,6.0,Kavita,medium,medium,0
S651407,Grade_7,English,Comprehension,auditory,mobile,69.1,70.57,68.9,2.0,4.0,0.4758,1.0,44.01,21.2,4.0,Essay_Writing,medium,medium,0
S111072,Grade_5,Computer_Science,Web_Development,visual,tablet,67.78,68.25,110.0,4.0,8.0,0.5243,2.0,27.15,27.3,5.0,Databases,medium,medium,1
S716045,Grade_9,Hindi,Kavita,auditory,desktop,52.28,42.54,83.9,3.0,2.0,0.1922,4.0,14.95,25.3,3.0,Gadya,easy,low,1
S919573,Grade_11,Mathematics,Fractions,auditory,laptop,80.16,79.07,68.1,2.0,0.0,0.5775,0.0,57.15,24.9,1.0,Number_Theory,medium,high,0
S208207,Grade_11,Mathematics,Fractions,kinesthetic,desktop,88.45,67.43,40.7,2.0,2.0,0.5154,1.0,42.43,18.3,3.0,Number_Theory,medium,medium,0
S738913,Grade_9,Hindi,Patra_Lekhan,reading_writing,desktop,70.67,74.49,77.7,3.0,9.0,0.493,1.0,38.1,,4.0,Vyakaran,medium,medium,0
S632766,Grade_9,Geography,Resources,auditory,laptop,59.01,57.62,73.6,3.0,5.0,0.411,2.0,35.95,18.6,3.0,Population,medium,medium,0
S233594,Grade_10,English,Essay_Writing,auditory,laptop,78.94,75.16,93.8,3.0,3.0,0.5703,1.0,69.18,31.7,2.0,Literature,medium,medium,0
S238099,Grade_9,History,Post_Independence,auditory,desktop,96.42,89.2,78.9,2.0,3.0,0.6359,1.0,70.89,21.9,3.0,Freedom_Movement,hard,high,0
S683152,Grade_3,General_Knowledge,Science_Tech,reading_writing,laptop,37.09,30.91,106.7,4.0,2.0,0.2795,2.0,11.64,27.6,2.0,Awards,easy,low,1
S865202,Grade_8,English,Comprehension,reading_writing,laptop,80.77,66.31,82.1,4.0,10.0,0.5497,3.0,66.93,33.5,6.0,Literature,medium,medium,0
S382503,Grade_7,English,Poetry,visual,laptop,69.66,58.13,100.0,5.0,12.0,0.507,1.0,40.16,33.1,8.0,Comprehension,medium,medium,1
S504620,Grade_11,Mathematics,Statistics,kinesthetic,tablet,60.56,65.26,80.1,4.0,,,3.0,13.37,44.5,8.0,Calculus,medium,medium,0
S852673,Grade_4,Hindi,Gadya,kinesthetic,desktop,35.27,30.37,107.8,6.0,0.0,0.3203,2.0,26.91,,2.0,Kavita,easy,low,1
S927037,Grade_12,,Climate,visual,tablet,98.03,88.85,,3.0,5.0,0.6627,0.0,68.21,34.4,3.0,Resources,hard,high,0
S859228,Grade_3,Science,Periodic_Table,kinesthetic,laptop,55.93,40.49,123.5,5.0,2.0,0.2277,3.0,1.64,24.9,3.0,Electricity,easy,low,1
S720240,Grade_7,Computer_Science,Data_Structures,kinesthetic,tablet,62.59,59.01,69.8,5.0,5.0,0.4768,3.0,48.88,36.8,4.0,Algorithms,medium,medium,0
S404969,Grade_7,History,Post_Independence,auditory,mobile,55.46,43.8,65.6,3.0,1.0,0.3566,,36.86,20.4,1.0,Freedom_Movement,easy,low,1
S822485,Grade_4,Mathematics,Trigonometry,reading_writing,desktop,60.58,,79.9,5.0,0.0,0.4072,2.0,31.99,26.3,1.0,Calculus,medium,medium,0
S597792,Grade_6,General_Knowledge,Awards,kinesthetic,laptop,65.36,43.26,73.2,4.0,4.0,0.4405,4.0,41.02,,3.0,Science_Tech,medium,medium,1
S392734,Grade_6,General_Knowledge,Current_Affairs,kinesthetic,mobile,63.99,71.62,64.3,4.0,0.0,0.5218,2.0,47.47,31.4,3.0,Sports,medium,medium,0
S198353,Grade_5,Mathematics,Calculus,kinesthetic,laptop,72.79,62.58,88.5,3.0,21.0,0.4749,3.0,52.31,28.2,11.0,Number_Theory,medium,medium,0
S336679,Grade_10,Computer_Science,Networking,reading_writing,laptop,65.32,51.12,82.8,5.0,0.0,0.3978,1.0,33.05,36.6,2.0,Databases,medium,medium,1
S457245,Grade_1,Hindi,Kavita,visual,tablet,38.56,45.01,105.3,4.0,11.0,0.4531,3.0,64.35,18.4,6.0,Patra_Lekhan,easy,low,1
S207408,Grade_7,General_Knowledge,Awards,reading_writing,mobile,71.45,69.41,61.1,2.0,12.0,0.5347,2.0,54.12,19.1,8.0,Sports,medium,medium,0
S115901,Grade_12,Hindi,Gadya,auditory,tablet,,57.48,51.0,4.0,4.0,0.4665,,63.13,33.5,3.0,Kavita,medium,medium,0
S901785,Grade_12,Computer_Science,Web_Development,kinesthetic,tablet,78.11,60.02,57.7,3.0,11.0,0.4028,,44.04,15.3,5.0,Databases,medium,medium,0
S812776,Grade_7,General_Knowledge,Science_Tech,reading_writing,desktop,73.92,69.91,75.2,2.0,1.0,0.6207,1.0,56.63,22.5,1.0,Current_Affairs,medium,medium,0
S801591,Grade_8,History,Post_Independence,reading_writing,desktop,83.02,72.73,74.2,3.0,5.0,0.5734,1.0,72.53,22.5,4.0,Freedom_Movement,medium,medium,0
S145864,Grade_6,Science,Motion,kinesthetic,mobile,33.98,25.47,79.9,5.0,12.0,0.2714,2.0,8.12,41.7,6.0,Light_Optics,easy,low,1
S246312,Grade_8,,World_Wars,visual,mobile,56.29,45.41,92.1,3.0,4.0,0.4084,2.0,33.89,18.8,3.0,Post_Independence,easy,medium,1
S714931,Grade_7,English,Vocabulary,auditory,mobile,45.74,46.88,81.7,4.0,5.0,0.3354,2.0,48.7,21.0,,Essay_Writing,easy,low,1
S939601,Grade_9,English,Comprehension,visual,desktop,57.82,45.36,84.1,5.0,1.0,0.3585,3.0,31.76,35.9,1.0,Literature,medium,medium,1
S246468,Grade_1,Science,Motion,kinesthetic,desktop,16.53,22.22,145.4,6.0,20.0,0.318,5.0,17.86,50.8,10.0,Light_Optics,easy,low,1
S366798,Grade_12,Hindi,Kavita,visual,laptop,78.41,65.03,94.9,2.0,3.0,0.5183,3.0,59.03,22.7,4.0,Gadya,medium,medium,0
S385437,Grade_5,Computer_Science,Algorithms,visual,desktop,65.14,62.32,67.9,4.0,0.0,0.4988,1.0,31.38,40.4,3.0,Data_Structures,medium,medium,0
S620027,Grade_2,Geography,Climate,reading_writing,tablet,49.43,37.82,125.1,4.0,0.0,0.3186,2.0,27.75,40.8,3.0,Resources,easy,low,1
S852619,Grade_2,Geography,Maps_Cartography,visual,mobile,47.53,42.31,98.5,5.0,1.0,0.3345,2.0,16.73,37.3,3.0,Physical_Geography,easy,low,1
S340906,Grade_1,Geography,Physical_Geography,kinesthetic,laptop,55.81,51.62,108.8,3.0,28.0,0.577,2.0,43.26,31.6,14.0,Resources,medium,medium,1
S714322,Grade_12,Science,Chemical_Reactions,auditory,mobile,84.61,76.42,47.6,3.0,7.0,0.5686,1.0,49.78,22.6,4.0,Periodic_Table,medium,high,0
S687497,Grade_5,General_Knowledge,Sports,reading_writing,laptop,74.75,60.64,61.9,2.0,14.0,0.5005,2.0,45.85,27.3,9.0,Current_Affairs,medium,medium,0
S981301,Grade_10,General_Knowledge,Science_Tech,kinesthetic,tablet,,53.89,56.4,4.0,5.0,0.5618,1.0,57.55,28.0,3.0,Awards,medium,medium,1
S160914,Grade_10,Computer_Science,Web_Development,visual,tablet,76.57,73.01,127.2,4.0,1.0,0.5312,2.0,66.38,27.1,2.0,Networking,medium,medium,1
S892931,Grade_5,English,Vocabulary,auditory,tablet,57.67,55.41,107.6,3.0,7.0,0.3448,3.0,29.77,24.6,5.0,Grammar,medium,medium,0
S895250,Grade_6,Science,Periodic_Table,visual,mobile,56.12,47.53,93.2,3.0,0.0,0.3997,2.0,44.34,13.6,2.0,Chemical_Reactions,easy,medium,1
S187280,Grade_4,Science,Chemical_Reactions,kinesthetic,,52.76,48.34,110.1,4.0,6.0,0.4633,2.0,39.72,27.4,4.0,Periodic_Table,medium,medium,1
S851684,Grade_9,Geography,Resources,auditory,mobile,66.6,61.54,70.4,3.0,2.0,0.4524,2.0,35.81,15.8,2.0,Maps_Cartography,medium,medium,0
S472210,Grade_10,Mathematics,Calculus,visual,tablet,94.06,82.18,107.1,3.0,16.0,0.6174,0.0,62.47,20.5,8.0,Statistics,hard,high,0
S102770,Grade_3,Science,Periodic_Table,kinesthetic,tablet,64.39,69.29,121.5,4.0,5.0,0.4841,1.0,48.15,30.7,3.0,Chemical_Reactions,medium,medium,1
